"name","gender","count","syllables"
"Aaban","M",107,2
"Aabha","F",35,2
"Aabid","M",10,2
"Aabir","M",5,2
"Aabriella","F",32,3
"Aada","F",5,2
"Aadam","M",254,2
"Aadan","M",130,2
"Aadarsh","M",199,2
"Aaden","F",5,2
"Aaden","M",4653,2
"Aadesh","M",22,2
"Aadhav","M",192,2
"Aadhavan","M",36,3
"Aadhi","M",38,2
"Aadhira","F",77,3
"Aadhvik","M",41,2
"Aadhvika","F",9,3
"Aadhya","F",1478,2
"Aadhyan","M",18,2
"Aadi","F",16,2
"Aadi","M",811,2
"Aadian","M",5,2
"Aadil","M",342,2
"Aadilynn","F",5,3
"Aadin","M",124,2
"Aadish","M",29,2
"Aadison","F",11,3
"Aadit","M",359,2
"Aadith","M",76,2
"Aadithya","M",11,3
"Aaditri","F",43,3
"Aaditya","M",551,3
"Aadiv","M",17,2
"Aadon","M",118,2
"Aadrian","M",12,2
"Aadrika","F",27,3
"Aadrit","M",15,2
"Aadriti","F",15,3
"Aadvi","F",7,2
"Aadvik","M",202,2
"Aadvika","F",52,3
"Aadya","F",990,2
"Aadyn","F",16,2
"Aadyn","M",492,2
"Aafia","F",6,2
"Aafiya","F",12,2
"Aafiyah","F",10,2
"Aafreen","F",5,2
"Aagam","M",25,2
"Aage","M",7,2
"Aagna","F",7,2
"Aagot","F",5,2
"Aahaan","M",33,2
"Aahan","M",268,2
"Aahana","F",535,3
"Aaheli","F",5,3
"Aahil","M",553,2
"Aahir","M",6,2
"Aahliyah","F",24,2
"Aahna","F",89,2
"Aahron","M",5,2
"Aaidan","M",38,2
"Aaiden","M",777,2
"Aaidyn","M",59,2
"Aaila","F",41,2
"Aailiyah","F",15,2
"Aailyah","F",194,2
"Aaima","F",66,2
"Aaira","F",149,2
"Aairah","F",106,2
"Aaisha","F",191,2
"Aaishah","F",23,2
"Aaiyana","F",5,2
"Aaiza","F",24,2
"Aaja","F",5,2
"Aajah","F",29,2
"Aajaylah","F",20,3
"Aajon","M",8,2
"Aakanksha","F",10,3
"Aakarsh","M",58,2
"Aakash","M",930,2
"Aakeem","M",16,2
"Aakil","M",9,2
"Aakilah","F",18,3
"Aakira","F",5,3
"Aakiyah","F",5,2
"Aakriti","F",49,3
"Aala","F",92,2
"Aalaiya","F",7,2
"Aalaiyah","F",67,2
"Aalana","F",48,3
"Aalanah","F",21,3
"Aalani","F",79,3
"Aalap","M",6,2
"Aalaya","F",139,2
"Aalayah","F",789,2
"Aalayiah","F",20,2
"Aalayjah","F",6,3
"Aalayna","F",40,3
"Aalaysha","F",17,3
"Aalaysia","F",138,3
"Aalea","F",7,2
"Aaleah","F",274,2
"Aaleahya","F",20,3
"Aaleayah","F",5,2
"Aaleena","F",5,3
"Aaleeya","F",5,2
"Aaleeyah","F",121,2
"Aaleiah","F",6,2
"Aaleigha","F",165,3
"Aaleiya","F",19,2
"Aaleiyah","F",43,2
"Aalena","F",5,3
"Aalexis","F",20,3
"Aalexus","F",6,3
"Aaleya","F",16,2
"Aaleyah","F",1118,2
